,ACCT_ID_M,OFFER_CHANNEL_CODE,ACQ_BROKER_EVER,ACQ_EXTERNAL_EVER,ACQ_INTERNAL_EVER,DEPT_Sales Chat
1466016,21734799,ONLINETPU,0,0,1,0.0
1570445,2404589,,0,0,0,
891473,11536187,ONLINETPU,0,0,1,
2087612,19945357,NBSC,0,0,1,
263688,19732617,DIGITAL,0,1,1,0.0
1678652,3029937,ONLINETPU,0,0,1,
850980,13341555,,0,0,0,
815796,6138365,NEWCON,0,1,1,
1720118,17092425,NBSC,0,0,1,
977422,21691839,CIC_SAL,0,0,1,
1779027,21321243,NBSCADMIN,0,0,1,
579926,3080617,NBSC,0,0,1,
187417,23461957,DIGITAL,0,0,1,
2089776,4140297,NAV,0,1,1,
248098,10874323,BEC,0,1,0,0.0
1094209,8534493,CIC_SAL,0,0,1,0.0
64941,14191253,,0,0,1,
1831674,14580899,ONLINETPU,0,1,1,
1643356,18234319,ONLINETPU,0,0,1,
211216,19856813,BEC,0,1,0,
1942475,13404949,CIC_SAL,0,0,1,0.0
780207,21798999,ONLINETPU,0,0,1,0.0
1968056,22677699,DIGITAL,0,0,1,
995149,25406177,NBSC,0,1,0,
1875185,22757575,NBSC,0,0,1,
248634,19548891,NBSC,0,0,1,
1170955,20618057,NBSC,0,0,1,
1282636,22181947,BEC,0,1,0,
481752,19369417,NBSC,0,0,1,
2179283,22649435,DIGITAL,0,0,1,0.0
1028891,24339921,ONLINETPU,0,0,1,0.0
1783553,25099709,DIGITAL,0,0,1,
403403,24540883,DIGITAL,0,0,1,0.0
1539221,25066893,DIGITAL,0,0,1,
1889942,23997825,ONLINETPU,0,0,1,0.0
637101,1431305,DATACOM,0,0,1,
330522,23258823,DIGITAL,0,0,1,
1583036,17762409,ONLINETPU,0,0,1,
162855,11206349,,0,0,0,
441005,25031251,DIGITAL,0,0,1,0.0
335047,23749881,NBSC,0,1,0,
386026,24733935,NBSC,0,1,0,
744739,18070389,NBSC,0,0,1,
1250440,25001281,ONLINETPU,0,1,0,
336228,9883559,NBSC,0,0,1,
905356,14408735,NEWCON,0,0,1,0.0
2148684,24892315,DIGITAL,0,0,1,
492602,14087751,CST,0,0,1,
