,ACCT_ID_M,CVM_TOTAL_BILL_GROSS,CVM_AN_PERIOD_GM,CVM_REV_BILLED_DAYS,CVM_HOURS_WATCHED_TOTAL,CVM_SPORTS_HOURS_WATCHED_TOTAL,CVM_REV_LOYALTY_R_R_AMT
1372152,16425831,93.80543333333337,104.82367,366.0,1876.909090909091,,
2230447,6853479,341.46374999999995,-155.84276999999994,340.0,1189.4545454545455,-532.2102693333334,
1056937,16659535,196.79438333333334,71.28115999999999,366.0,6399.818181818182,,
2044602,18166483,148.64223333333334,125.01327500000004,366.0,3861.4545454545455,,
1263858,13199757,265.21864999999997,57.34633000000004,348.0,9872.181818181818,,
458776,23543663,,,,,,
1198896,19486239,196.1808,89.33130999999999,336.0,507.8181818181818,,
1468857,24156683,,,,,,
444827,25037877,,,,,,
1739146,3847423,282.8206333333333,127.00124999999998,350.0,10959.09090909091,,
982698,13910649,798.7324333333332,404.12921,354.0,3031.2727272727275,,
2335918,4100733,338.94631666666663,-28.42425999999993,334.0,1233.8181818181818,-367.06852294252883,
1548024,11236237,133.01961666666668,142.51134000000005,366.0,3493.818181818182,,
166120,23460371,,,,,,
2019823,24523107,,,,,,
2007721,13270849,329.26695,253.72667,346.0,852.3636363636364,,
1711462,17757231,206.39125,97.56022,338.0,392.3636363636364,,
238091,4373403,293.8043166666667,170.5227,365.0,704.9090909090909,,
1262864,15441355,271.53776666666664,71.54652000000002,364.0,805.6363636363636,-486.4,
708758,21523547,163.19486666666668,74.286925,366.0,4472.181818181818,,
365821,15703617,3165.9829166666677,3048.4123999999993,366.0,8661.272727272728,,
88961,10405207,473.2812166666667,344.83492999999993,341.0,1874.7272727272727,,
1463084,10066283,100.14721666666667,58.65485000000001,337.0,1236.7272727272727,,
1728823,23307457,,,,,,
1891246,25008181,,,,,,
1457637,16102541,147.89828333333332,109.36568999999999,358.0,343.8181818181818,,
1984918,24366127,,,,,,
22951,24025441,,,,,,
1200741,18999993,97.22213333333333,102.70139,365.0,2338.3636363636365,,
1436324,727341,177.2040666666666,157.02633,358.0,304.0,,
555970,22345443,221.1783,117.66107,91.0,694.1818181818181,,
48074,20787127,45.79933333333333,86.48895,334.0,248.9090909090909,,
636567,20796957,153.62793333333335,95.06574,331.0,370.90909090909093,,
2024418,14604161,96.49718333333334,105.667675,365.0,1843.4545454545455,,
2185528,24531711,,,,,,
158307,12207735,460.5757333333331,237.51455999999996,366.0,1879.090909090909,,
1534578,4720361,270.7203666666667,54.42975000000002,365.0,13219.09090909091,,
1668169,4508117,378.40915,356.1767,358.0,1132.3636363636363,-1394.6834095072466,
2280520,5385377,404.0668333333335,-40.60761,366.0,17642.0,,
1429086,7501633,440.77130000000005,-25.06315999999996,366.0,19313.81818181818,,
2275352,25554941,,,,,,
101953,2730641,95.46685000000001,86.98735,354.0,1843.090909090909,,
16387,9390811,434.83784999999995,-175.67207999999997,355.0,1196.0,,
619391,23373327,,,,,,
994261,24575919,,,,,,
1494884,10277513,153.81378333333333,140.08812,338.0,432.90909090909093,,
2302908,18382269,380.8281666666667,133.91215999999997,366.0,1179.4545454545455,-338.93333333333334,
1038421,19908015,123.27186666666664,48.20485999999999,365.0,384.0,,
1781046,25304149,,,,,,
859590,16393623,340.52933333333334,58.90255000000002,346.0,1056.3636363636363,,
558286,8860637,149.95453333333333,63.29764,344.0,378.3636363636364,,
296299,25327549,,,,,,
1930689,22794215,,,,,,
723140,8225131,357.974,199.4027,366.0,14971.818181818182,,
843742,23244155,,,,,,
1129735,3659917,155.77225,59.799275,339.0,4230.545454545455,,
2227703,20417349,129.36991666666663,105.15016999999996,319.0,176.9090909090909,,
892491,17363451,267.0187333333333,10.279049999999934,355.0,9953.636363636364,,
2054829,25328415,,,,,,
1775246,18104875,214.01603333333333,166.47986999999995,362.0,436.0,,
930956,19487203,566.1882166666668,39.5811400000001,340.0,1455.6363636363637,,
2284879,22007763,82.91766666666666,57.99875000000002,317.0,2070.5454545454545,,
1129221,9440411,403.82649999999995,-27.096709999999966,365.0,1371.090909090909,,
99157,4045361,102.28108333333334,174.67578999999998,365.0,1476.5454545454545,,
384789,23304029,,,,,,
806196,22302525,310.2327166666667,111.618825,173.0,9822.727272727272,,
1439546,14932039,241.90411666666662,60.99227500000003,359.0,7999.818181818182,,
42707,17976035,719.6665166666667,277.2101800000001,358.0,3357.4545454545455,,
248717,16631691,429.0679,382.3590199999999,352.0,1576.5454545454545,-22.4,
582080,1201701,159.47846666666666,140.964225,331.0,4515.090909090909,,
2103507,14386883,368.86963333333347,-176.55258999999998,358.0,1187.4545454545455,-1171.7333333333333,
2229477,10853843,266.35749999999996,131.92455,336.0,832.7272727272727,,
210918,13278153,229.62731666666664,243.87347,358.0,7746.909090909091,,
2133776,20622801,759.7095000000003,104.86608000000014,304.0,2808.5454545454545,,
1104694,23025749,,,,,,
2250552,14155083,271.2047833333333,-256.9157600000001,365.0,1070.3636363636363,-1343.4666666666667,
1773293,1950287,188.60978333333333,118.57223000000002,350.0,513.4545454545455,,
1025437,18063871,421.48128333333335,40.171309999999984,365.0,19433.454545454544,,
2146803,23513727,,,,,,
316175,24473987,,,,,,
1020853,4881779,201.78066666666666,121.65130999999998,341.0,332.90909090909093,,
1857381,25245645,,,,,,
136896,19936623,685.1291,287.6648099999999,366.0,1780.7272727272727,,
1933195,6248133,181.49891666666667,-104.59829999999997,317.0,519.0909090909091,-60.92536266666668,
1223141,19496481,95.7132666666667,69.1791,350.0,1788.7272727272727,,
886627,8541415,385.43035000000003,148.24416000000002,350.0,1226.0,,
2220399,24689187,,,,,,
1019390,8183945,255.93383333333324,-455.18458999999984,335.0,993.4545454545455,-344.24309075555544,
233547,4214635,413.5373833333333,176.88080999999997,366.0,1184.0,,
254975,18180363,249.3309333333332,84.59689999999998,361.0,748.0,,
572778,5506981,,,,,,
526080,22694859,113.25919999999998,38.58859426479998,47.0,274.90909090909093,,
1992449,20670013,114.81439999999999,56.352330000000016,322.0,285.6363636363636,,
2204733,23745855,,,,,,
221955,24125103,,,,,,
1411278,22298351,325.9224,166.44709000000006,89.0,1160.7272727272727,,
824827,22367679,463.19900000000007,311.43503,108.0,20379.454545454544,,
841546,13673955,313.36013333333335,285.42241,361.0,740.3636363636364,,
1113306,14355659,177.22054999999997,65.31144999999997,351.0,5589.090909090909,,
151337,25344371,,,,,,
650310,4716721,330.96178333333336,156.57806999999997,365.0,1048.1818181818182,,
342384,22109163,471.0233333333333,105.49632000000005,183.0,1821.4545454545455,,
1190176,19973147,195.9977,49.19865,358.0,6029.818181818182,,
655973,9709827,654.1992,213.54790000000008,366.0,2170.909090909091,,
1228797,22135455,48.38336666666667,82.5229,182.0,313.27272727272725,,
1496689,13840609,196.1052,163.08169000000007,330.0,701.8181818181819,,
750777,18082687,83.68363333333333,62.09201999999999,344.0,836.3636363636364,,
2305209,10010911,69.91801666666667,96.208725,349.0,945.4545454545455,,
2318935,310799,168.87878333333333,127.25343000000001,366.0,494.0,,
1379454,24810619,,,,,,
1125673,14862607,58.57086666666667,66.43974,274.0,47.09090909090909,,
1898568,7888825,249.37085000000002,160.41722,365.0,714.3636363636364,-88.53333333333333,
918255,24410653,,,,,,
558046,19081749,668.6957,69.29966999999999,364.0,2351.4545454545455,,
1826379,17265867,55.514749999999985,87.38107500000002,366.0,552.5454545454545,,
694705,18588279,198.08325,17.254549999999995,362.0,8160.0,,
1131542,12747341,151.44543333333334,139.58383999999998,362.0,423.09090909090907,,
1535459,19899997,248.33213333333333,61.96839000000002,355.0,820.1818181818181,,
1858356,17510625,235.26833333333332,111.53678000000001,352.0,670.3636363636364,,
790796,25352059,,,,,,
4175,23129029,,,,,,
156867,19923551,364.9862333333333,21.96199000000001,355.0,15362.90909090909,,
1923132,559351,146.83341666666666,99.40063000000002,356.0,404.54545454545456,,
511783,7779513,338.9248666666667,-219.10676,366.0,1338.909090909091,-601.01464,
238501,23283747,,,,,,
111052,24307437,,,,,,
1461455,18363667,872.4335333333333,-2.231139999999911,356.0,2938.909090909091,,
2274667,20564349,277.1414999999999,38.925730000000016,355.0,751.2727272727273,,
966879,3015515,335.83806666666675,41.46591000000002,366.0,1007.2727272727273,-137.85663733333334,
1276636,19184659,130.81261666666663,86.04291000000002,344.0,287.45454545454544,,
1297804,21193715,185.76880000000003,62.81160999999999,357.0,618.9090909090909,,
397488,1060399,182.86913333333334,146.40885,338.0,5510.181818181818,,
44593,22247585,221.71403333333328,179.36676999999992,165.0,7176.0,,
363298,21463673,438.13779999999997,155.04708000000005,366.0,2134.5454545454545,,
2256966,22923563,,,,,,
2121907,12950787,264.15633333333324,-254.32095,345.0,674.1818181818181,-1507.4666666666667,
1602438,7553269,353.15771666666666,121.60014000000004,365.0,915.6363636363636,,
277131,6101335,,,,,,
289209,13947947,159.70635000000001,62.717325,336.0,4520.909090909091,,
1246071,6138005,155.52423333333334,168.24486000000002,341.0,4491.636363636364,,
592668,1356883,323.4966166666667,-265.5476,366.0,889.0909090909091,-303.9233253333334,
1031635,25376981,,,,,,
1705200,16772621,168.10856666666666,101.65393999999998,350.0,543.4545454545455,,
1738032,7190251,215.93371666666667,110.99974999999996,351.0,696.3636363636364,,
1909405,25130643,,,,,,
1471739,23832157,,,,,,
2076491,24622855,,,,,,
1202913,3500469,106.92926666666666,78.95192500000002,355.0,2366.7272727272725,,
320804,21729041,210.71500000000006,91.94403,272.0,480.54545454545456,,
2180462,19076635,503.99084999999997,-82.57958999999997,360.0,1654.7272727272727,-1041.6,
1549010,7820981,513.4177833333333,-169.12347999999997,353.0,1882.3636363636363,,
1291582,6376935,232.09801666666667,155.55974999999995,366.0,676.0,,
1466016,21734799,621.1950166666667,40.54882000000005,307.0,2977.090909090909,,
1570445,2404589,472.52478333333335,452.88179,357.0,1321.090909090909,,
891473,11536187,126.25206666666666,66.40495,354.0,3111.6363636363635,,
2087612,19945357,69.11026666666667,79.77090000000003,366.0,914.5454545454545,,
263688,19732617,199.48013333333333,66.75618999999996,346.0,464.3636363636364,,
1678652,3029937,167.5165,117.3332,362.0,4944.363636363636,,
521692,17994785,97.45281666666669,94.191825,346.0,1800.5454545454545,,
750035,4901991,288.10735000000005,-72.34766999999995,361.0,656.7272727272727,-267.2619146666667,
850980,13341555,1506.2784833333333,1025.46908,352.0,74706.72727272728,,
815796,6138365,439.22675,416.88568999999984,347.0,19250.18181818182,,
1720118,17092425,406.2272666666667,275.0596099999999,348.0,968.0,,
977422,21691839,165.38998333333333,-86.95710999999999,274.0,501.09090909090907,-646.5806614222222,
2014953,17911823,861.5131,-162.11888000000005,336.0,44500.545454545456,,
1779027,21321243,331.00899999999996,-179.34861,309.0,967.2727272727273,-1286.4,
943240,13277199,538.0486000000001,214.18728999999993,341.0,1899.4545454545455,,
1035575,6441365,286.72200000000004,277.1760900000001,304.0,11472.0,,
579926,3080617,223.22346666666667,80.84305000000008,336.0,480.90909090909093,,
187417,23461957,,,,,,
2089776,4140297,344.3525333333334,144.74277000000004,349.0,834.1818181818181,,
248098,10874323,48.544999999999995,58.31523000000001,333.0,6.363636363636363,,
729812,20301827,61.86023333333333,93.89945,342.0,387.27272727272725,,
1515731,1388813,131.3840166666667,57.176885,365.0,2377.2727272727275,,
893195,17210911,230.34226666666655,170.87303999999997,348.0,8084.727272727273,,
1094209,8534493,476.8710833333334,-65.87858999999997,338.0,2190.5454545454545,,
64941,14191253,134.72165000000004,129.082,343.0,355.45454545454544,,
1943949,3846959,187.1321,124.43878,344.0,500.72727272727275,,
611445,16140715,145.0124666666667,126.82691000000001,344.0,245.27272727272728,,
389315,23260413,,,,,,
592391,6712885,106.36281666666663,79.92690000000002,366.0,2526.5454545454545,,
1727461,24365777,,,,,,
823188,1040917,320.07635,284.45515999999986,321.0,1103.2727272727273,,
1831674,14580899,596.4701833333335,270.2520899999999,362.0,28639.272727272728,,
1643356,18234319,527.8818666666667,170.03389000000007,349.0,1592.909090909091,,
