,ACCT_ID_M,DAYS_LAST_LOGIN,NUM_LOGINS_6M,NUM_WKDAY_LOGIN_6M,NUM_WKEND_LOGIN_6M,Measures.Call_Duration_mean,Measures.Call_Duration_min,Measures.Call_Duration_max,DEPT_Retention Inbound,DEPT_Retention Outbound,MAX_RING_DURATION_6M,MAX_TALK_DURATION_3M,NUM_INTERACTION_3M,EMAIL_T1_ISP_FLG,EMAIL_T2_ISP_FLG,EMAIL_WEBMAIL_FLG
2185528,24531711,,0,0,0,,,,,,,,0,0,0,1
158307,12207735,1284.0,0,0,0,,,,,,,,1,0,0,0
1534578,4720361,198.0,0,0,0,,,,,,,,1,0,0,1
1668169,4508117,,0,0,0,,,,,,,,3,0,0,0
2280520,5385377,337.0,0,0,0,,,,,,,,0,1,0,0
2275352,25554941,,0,0,0,,,,,,,,1,0,0,1
101953,2730641,,0,0,0,,,,,,,,0,0,0,1
16387,9390811,58.0,7,7,0,,,,,,,,5,0,0,1
619391,23373327,301.0,0,0,0,,,,,,,,1,0,0,1
994261,24575919,69.0,1,1,0,125.0,125.0,125.0,0.0,0.0,820.0,126.0,6,0,0,1
2302908,18382269,,0,0,0,204.0,181.0,227.0,0.0,0.0,4.0,1577.0,0,0,0,1
1038421,19908015,,0,0,0,,,,,,,,0,0,0,0
1781046,25304149,,0,0,0,,,,,,,,2,0,0,0
859590,16393623,,0,0,0,522.25,46.0,1003.0,0.0,0.0,156.0,503.0,3,0,0,0
1930689,22794215,18.0,4,1,3,,,,,,,,3,0,0,1
843742,23244155,31.0,2,2,0,,,,,,,,0,0,0,1
1129735,3659917,860.0,0,0,0,,,,,,,,1,0,0,1
2227703,20417349,,0,0,0,,,,,,,,1,0,0,1
892491,17363451,64.0,1,1,0,1366.6666666666667,513.0,2184.0,0.0,0.0,375.0,2042.0,13,0,0,1
2054829,25328415,,0,0,0,,,,,,,,1,0,0,1
1775246,18104875,548.0,0,0,0,,,,,,4.0,158.0,3,0,0,1
930956,19487203,29.0,2,2,0,,,,,,,,2,1,0,0
1129221,9440411,217.0,0,0,0,,,,,,,,0,0,0,1
99157,4045361,,0,0,0,,,,,,,,0,0,0,0
384789,23304029,,0,0,0,,,,,,,,0,0,0,1
806196,22302525,,0,0,0,,,,,,,,0,0,0,0
1439546,14932039,265.0,0,0,0,,,,,,,,0,0,0,1
42707,17976035,57.0,2,2,0,,,,,,0.0,0.0,0,0,0,0
248717,16631691,58.0,4,4,0,,,,,,,,0,0,0,0
582080,1201701,,0,0,0,,,,,,,,0,0,0,0
2103507,14386883,,0,0,0,,,,,,,,4,0,0,1
2229477,10853843,19.0,7,3,4,,,,,,,,1,0,0,1
210918,13278153,,0,0,0,,,,,,,,0,0,0,0
2133776,20622801,3.0,3,1,2,,,,,,,,6,0,0,1
1104694,23025749,,0,0,0,,,,,,,,1,0,0,1
2250552,14155083,202.0,0,0,0,,,,,,,,2,1,0,0
1773293,1950287,,0,0,0,,,,,,,,1,0,0,1
1025437,18063871,,0,0,0,,,,,,,,1,0,0,1
2146803,23513727,269.0,0,0,0,,,,,,,,0,0,0,1
316175,24473987,1019.0,0,0,0,729.75,29.0,1918.0,0.0,1.0,,,1,0,0,1
1020853,4881779,65.0,3,3,0,,,,,,,,0,0,0,1
1857381,25245645,22.0,7,7,0,319.0,59.0,579.0,0.0,0.0,,,3,0,0,1
136896,19936623,,0,0,0,,,,,,,,0,0,0,0
1933195,6248133,68.0,1,0,1,,,,,,,,3,0,0,1
1223141,19496481,,0,0,0,,,,,,,,1,0,0,1
886627,8541415,49.0,3,3,0,,,,,,,,7,0,0,1
2220399,24689187,189.0,0,0,0,,,,,,,,1,0,0,1
1019390,8183945,128.0,1,1,0,,,,,,,,1,0,0,1
233547,4214635,346.0,0,0,0,,,,,,,,0,0,0,0
254975,18180363,353.0,0,0,0,,,,,,,,0,0,0,1
572778,5506981,6.0,2,1,1,,,,,,,,1,0,1,0
526080,22694859,56.0,1,1,0,17.0,17.0,17.0,0.0,0.0,,,7,0,0,1
1992449,20670013,132.0,6,6,0,,,,,,4.0,,0,0,0,1
2204733,23745855,,0,0,0,,,,,,,,0,0,0,0
221955,24125103,45.0,1,1,0,50.0,50.0,50.0,0.0,1.0,,,0,1,0,0
1411278,22298351,261.0,0,0,0,,,,,,,,0,0,0,1
841546,13673955,,0,0,0,,,,,,,,3,0,0,0
1113306,14355659,,0,0,0,,,,,,,,1,0,0,0
151337,25344371,1.0,28,24,4,1346.0,413.0,2279.0,0.0,0.0,,,3,0,0,1
650310,4716721,279.0,0,0,0,,,,,,,,13,0,0,1
342384,22109163,7.0,40,29,11,,,,,,,,3,1,0,0
1190176,19973147,466.0,0,0,0,,,,,,,,1,0,0,1
655973,9709827,,0,0,0,,,,,,,,0,0,0,0
1228797,22135455,500.0,0,0,0,,,,,,,,1,0,0,0
1496689,13840609,,0,0,0,290.0,290.0,290.0,0.0,0.0,,,1,0,0,1
750777,18082687,,0,0,0,,,,,,,,1,0,0,0
1125673,14862607,,0,0,0,,,,,,,,0,0,0,0
1898568,7888825,176.0,2,2,0,,,,,,,,1,0,0,1
918255,24410653,184.0,4,4,0,,,,,,,,0,0,0,1
558046,19081749,85.0,6,6,0,2205.0,2205.0,2205.0,0.0,0.0,,,3,0,0,1
694705,18588279,571.0,0,0,0,384.0,384.0,384.0,0.0,0.0,,,1,0,0,1
1535459,19899997,,0,0,0,279.0,279.0,279.0,0.0,0.0,,,2,0,0,1
1858356,17510625,181.0,2,2,0,,,,,,,,1,0,0,1
790796,25352059,7.0,18,16,2,,,,,,,,4,0,0,1
4175,23129029,,0,0,0,,,,,,,,0,0,0,0
156867,19923551,382.0,0,0,0,,,,,,,,1,0,0,1
1923132,559351,,0,0,0,,,,,,,,0,0,0,0
511783,7779513,,0,0,0,,,,,,,,0,0,0,0
238501,23283747,,0,0,0,454.0,255.0,813.0,0.0,0.0,,,0,0,0,1
111052,24307437,14.0,1,1,0,336.0,167.0,644.0,0.0,0.0,,,0,0,0,1
1461455,18363667,18.0,2,0,2,,,,,,,,2,0,0,1
2274667,20564349,192.0,0,0,0,,,,,,,,2,0,0,1
966879,3015515,1037.0,0,0,0,,,,,,,,1,0,0,1
1276636,19184659,1008.0,0,0,0,,,,,,,,0,0,0,0
1297804,21193715,510.0,0,0,0,,,,,,,,0,0,0,1
397488,1060399,56.0,3,3,0,,,,,,,,2,0,0,1
363298,21463673,125.0,1,1,0,169.0,169.0,169.0,0.0,0.0,,,8,0,0,0
2121907,12950787,1378.0,0,0,0,,,,,,,,1,1,0,0
1602438,7553269,58.0,3,3,0,,,,,,,,0,0,0,1
289209,13947947,318.0,0,0,0,,,,,,,,2,0,0,0
1246071,6138005,1986.0,0,0,0,,,,,,,,1,1,0,0
592668,1356883,129.0,3,2,1,,,,,,8.0,253.0,3,0,0,1
1031635,25376981,144.0,1,0,1,1156.0,1156.0,1156.0,0.0,0.0,,,4,0,0,1
1705200,16772621,877.0,0,0,0,37.0,37.0,37.0,0.0,0.0,,,1,0,0,0
1738032,7190251,,0,0,0,469.5,42.0,1078.0,0.0,0.0,,,6,0,0,0
1909405,25130643,2.0,50,38,12,,,,,,,,2,0,0,1
1471739,23832157,,0,0,0,,,,,,,,1,1,0,0
2076491,24622855,62.0,4,4,0,570.1428571428571,56.0,1662.0,0.0,0.0,,,2,0,0,1
1202913,3500469,251.0,0,0,0,,,,,,,,0,0,0,1
320804,21729041,6.0,14,13,1,2077.0,2077.0,2077.0,0.0,0.0,,,0,0,0,1
2180462,19076635,547.0,0,0,0,,,,,,,,1,0,0,1
1549010,7820981,213.0,0,0,0,,,,,,,,0,0,0,1
